state,city,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent
Florida,Altha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,514,543,548,536,538,No Data,No Data
Georgia,Alto,0,0,0,0,0,0,0,0,0,0,0,DNR, DNR,0, DNR, DNR,0,0, DNR, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,1157,1187,"1,185",1159,1163,No Data,No Data
Illinois,Alton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12349,12601,"14,178",14756,15311,15895,16137
Iowa,Altoona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6658,6735,"6,806",7018,7141,7267,7446
California,Alturas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,2860,"2,802",2681,2615,2566,2549
Oklahoma,Altus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18983,20025,"19,936",19634,19531,19456,19093
Oklahoma,Alva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4822,4998,"4,914",4901,5052,5232,5227
Texas,Alvarado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379,3865,"3,888",3813,3821,3937,4058
Texas,Alvin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,0,0,0,23399,24746,"25,145",25110,25252,25842,26100
Texas,Amarillo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190393,194708,"196,576",196577,197724,198770,200141
Ohio,Amberley Village,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0, DNR,0,0,0,0,0,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,3563,3588,No Data,3585,3600,3602,No Data
Pennsylvania,Ambler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,6228,6437,"6,465",6514,6515,6522,6517
Illinois,Amboy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,2508,"2,459",2392,2369,2356,2330
Pennsylvania,Ambridge,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6948,7072,"7,051",6963,6931,6858,6822
