State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
,,Henry County Police Department,5,0,0,,,,,,,
Idaho,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Bellevue,1,0,0,0,"2,283",,,,,
,,Boise,6,4,5,3,"211,569",,,,,
,,Coeur d'Alene,1,4,0,0,"45,267",,,,,
,,Garden City,0,1,0,0,"11,293",,,,,
,,Grangeville,0,1,0,0,"3,198",,,,,
,,Jerome,0,0,0,2,"11,115",,,,,
,,Meridian,0,0,1,0,"77,270",,,,,
,,Nampa,0,1,0,2,"83,316",,,,,
,,Twin Falls,0,0,0,1,"44,866",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Kootenai,0,1,1,0,,,,,,
Illinois,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Algonquin,0,1,0,0,"30,159",,,,,
,,Altamont,1,0,0,0,"2,323",,,,,
,,Aurora,0,1,0,0,"199,765",,,,,
,,Beardstown,1,0,0,0,"6,099",,,,,
,,Bellwood,0,0,0,1,"19,165",,,,,
,,Bloomington,0,0,0,1,"77,107",,,,,
,,Canton,1,0,0,0,"14,673",,,,,
,,Carpentersville,0,1,0,0,"38,080",,,,,
,,Centralia,0,0,1,,"13,027",,,,,
,,Chicago,3,3,4,4,"2,708,382",,,,,
,,Crest Hill,0,1,0,0,"20,953",,,,,
,,Crystal Lake,0,1,0,1,"40,785",,,,,
,,Danville,1,0,0,0,"32,997",,,,,
,,Decatur,0,1,0,0,"76,131",,,,,
,,De Kalb,0,1,0,0,"43,722",,,,,
,,Des Plaines,0,0,1,0,"58,644",,,,,
,,Downers Grove,0,0,1,0,"48,185",,,,,
,,Evanston,0,1,0,0,"74,820",,,,,
,,Fairbury,0,0,1,0,"3,751",,,,,
,,Joliet,0,0,1,0,"148,471",,,,,
,,La Grange,2,0,0,0,"15,624",,,,,
