State,Agency type,Agency name,q01,q02,q03,q04,Population,From
,,Corrigan,0,0,0,0,"1,633",Addendum
,,Corsicana,0,0,0,0,"24,284",Addendum
,,Crandall,0,0,0,0,"2,957",Addendum
,,Crane,0,0,0,0,"3,410",Addendum
,,Crockett,0,0,0,0,"6,975",Addendum
,,Crosbyton,0,0,0,0,"1,776",Addendum
,,Crowell,0,0,0,0,965,Addendum
,,Crowley,0,0,0,0,"13,328",Addendum
,,Crystal City,0,0,0,0,"7,355",Addendum
,,Cuero,0,0,0,0,"7,001",Addendum
,,Cumby,0,0,0,0,794,Addendum
,,Daingerfield,0,0,0,0,"2,579",Addendum
,,Dalhart,0,0,0,0,"8,124",Addendum
,,Dalworthington Gardens,0,0,0,0,"2,345",Addendum
,,Danbury,0,0,0,0,"1,780",Addendum
,,Dayton,0,0,0,0,"7,416",Addendum
,,Decatur,0,0,0,0,"6,206",Addendum
,,Deer Park,0,0,0,0,"33,196",Addendum
,,De Kalb,0,0,0,0,"1,708",Addendum
,,De Leon,0,0,0,0,"2,266",Addendum
,,Del Rio,0,0,0,0,"36,302",Addendum
,,Denver City,0,0,0,0,"4,617",Addendum
,,Desoto,0,0,0,0,"50,795",Addendum
,,Devine,0,0,0,0,"4,452",Addendum
,,Diboll,0,0,0,0,"4,896",Addendum
,,Dickinson,0,0,0,0,"19,251",Addendum
,,Dilley,0,0,0,0,"3,988",Addendum
,,Dimmitt,0,0,0,0,"4,489",Addendum
,,Donna,0,0,0,0,"16,518",Addendum
,,Double Oak,0,0,0,0,"3,014",Addendum
,,Driscoll,0,0,0,0,757,Addendum
,,Dublin,0,0,0,0,"3,746",Addendum
,,Dumas,0,0,0,0,"14,946",Addendum
,,Duncanville,0,0,0,0,"39,899",Addendum
,,Eagle Lake,0,0,0,0,"3,684",Addendum
,,Eagle Pass,0,0,0,0,"27,208",Addendum
,,Early,0,0,0,0,"2,810",Addendum
,,Eastland,0,0,0,0,"4,029",Addendum
,,East Mountain,0,0,0,0,815,Addendum
,,Edcouch,0,0,0,0,"3,305",Addendum
,,Edgewood,0,0,0,0,"1,467",Addendum
,,Edinburg,0,0,0,0,"80,332",Addendum
,,El Campo,0,0,0,0,"11,786",Addendum
,,Electra,0,0,0,0,"2,814",Addendum
,,Elgin,0,0,0,0,"8,386",Addendum
,,Elsa,0,0,0,0,"5,918",Addendum
,,Ennis,0,0,0,0,"19,184",Addendum
,,Euless,0,0,0,0,"53,228",Addendum
,,Fairfield,0,0,0,0,"2,974",Addendum
,,Fair Oaks Ranch,0,0,0,0,"6,254",Addendum
,,Falfurrias,0,0,0,0,"5,055",Addendum
,,Farmers Branch,0,0,0,0,"29,637",Addendum
,,Farmersville,0,0,0,0,"3,478",Addendum
,,Farwell,0,0,0,0,"1,393",Addendum
,,Ferris,0,0,0,0,"2,524",Addendum
,,Flatonia,0,0,0,0,"1,415",Addendum
,,Florence,0,0,0,0,"1,209",Addendum
,,Floresville,0,0,0,0,"6,672",Addendum
,,Floydada,0,0,0,0,"3,058",Addendum
,,Forest Hill,0,0,0,0,"12,825",Addendum
,,Fort Stockton,0,0,0,0,"8,530",Addendum
,,Frankston,0,0,0,0,"1,243",Addendum
,,Fredericksburg,0,0,0,0,"10,802",Addendum
,,Freeport,0,0,0,0,"12,501",Addendum
,,Freer,0,0,0,0,"2,832",Addendum
,,Friendswood,0,0,0,0,"36,965",Addendum
,,Friona,0,0,0,0,"4,211",Addendum
,,Gainesville,0,0,0,0,"16,223",Addendum
,,Galena Park,0,0,0,0,"11,290",Addendum
,,Galveston,0,0,0,0,"49,170",Addendum
