Year,State,Agency Type,Agency name,q01,q02,q03,q04,Population2
2014,Delaware,State Police Agencies,Kent County,1,0,0,0,
2014,Delaware,State Police Agencies,New Castle County,0,1,1,0,
2014,Delaware,State Police Agencies,Sussex County,0,0,1,0,
2014,Delaware,Other Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Delaware,Other Agencies,State Fire Marshal,0,0,0,1,
2014,District of Columbia,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,District of Columbia,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,District of Columbia,Cities,Washington2,15,17,25,11,658893
2014,District of Columbia,Other Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,District of Columbia,Other Agencies,Metro Transit Police,0,0,1,1,
2014,Florida,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Florida,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Florida,Cities,Cape Coral,0,1,0,0,168712
2014,Florida,Cities,Clewiston,0,0,1,0,7141
2014,Florida,Cities,Coral Gables,0,0,0,1,50316
2014,Florida,Cities,Delray Beach,0,0,1,0,64917
2014,Florida,Cities,Gainesville,0,1,0,0,128185
2014,Florida,Cities,Jupiter,0,0,0,1,59039
2014,Florida,Cities,Kissimmee,0,1,0,1,66623
2014,Florida,Cities,Largo,0,0,0,1,78502
2014,Florida,Cities,Margate,0,0,1,0,55982
2014,Florida,Cities,Miami Beach,2,0,4,0,91771
2014,Florida,Cities,Miramar,0,1,0,0,132352
2014,Florida,Cities,North Miami,0,0,0,1,61501
2014,Florida,Cities,North Miami Beach,0,1,1,0,43657
2014,Florida,Cities,Ocoee,0,0,0,1,40029
2014,Florida,Cities,Orlando,0,2,3,0,259675
2014,Florida,Cities,Oviedo,1,0,0,0,37467
2014,Florida,Cities,Palm Bay,0,0,1,0,105287
2014,Florida,Cities,Pensacola,0,0,0,1,52873
2014,Florida,Cities,Port St. Lucie,0,0,0,1,172453
2014,Florida,Cities,Temple Terrace,0,1,0,0,25335
2014,Florida,Cities,Titusville,0,1,0,0,44310
2014,Florida,Cities,Weston,0,0,0,1,69129
2014,Florida,Cities,West Palm Beach,1,0,3,1,103028
2014,Florida,Cities,Winter Garden,0,1,0,0,38454
2014,Florida,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Florida,Metropolitan Counties,Alachua,0,0,0,1,
2014,Florida,Metropolitan Counties,Charlotte,0,1,0,0,
2014,Florida,Metropolitan Counties,Clay,0,0,1,1,
2014,Florida,Metropolitan Counties,Highlands,0,0,1,0,
2014,Florida,Metropolitan Counties,Lee,2,0,0,1,
2014,Florida,Metropolitan Counties,Manatee,0,0,2,2,
2014,Florida,Metropolitan Counties,Orange,1,1,1,0,
2014,Florida,Metropolitan Counties,Pasco,0,0,0,1,
2014,Florida,Metropolitan Counties,Seminole,0,0,1,0,
2014,Florida,Metropolitan Counties,Sumter,0,0,0,3,
2014,Florida,Metropolitan Counties,Volusia,2,0,1,0,
2014,Florida,Metropolitan Counties,Wakulla,0,0,0,2,
2014,Florida,Metropolitan Counties,Walton,1,0,0,0,
2014,Georgia,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Georgia,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Georgia,Cities,Atlanta,5,3,5,0,454363
2014,Georgia,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Georgia,Metropolitan Counties,Cobb County Police Department,5,5,10,4,
2014,Georgia,Metropolitan Counties,Gwinnett County Police Department,1,1,0,0,
2014,Georgia,Metropolitan Counties,Henry County Police Department,0,1,0,1,
2014,Idaho,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Idaho,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Idaho,Cities,Boise,2,3,5,2,216260
2014,Idaho,Cities,Coeur d'Alene,0,0,1,0,46952
2014,Idaho,Cities,Jerome,0,0,1,0,11064
2014,Idaho,Cities,Lewiston,1,0,0,0,32521
2014,Idaho,Cities,Nampa,0,0,2,2,87735
2014,Idaho,Cities,Payette,0,0,1,0,7417
2014,Idaho,Cities,Pocatello,0,0,1,0,54360
2014,Idaho,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Idaho,Metropolitan Counties,Ada,0,0,0,1,
2014,Idaho,Nonmetropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Idaho,Nonmetropolitan Counties,Cassia,0,1,1,0,
2014,Idaho,Nonmetropolitan Counties,Teton,0,0,1,0,
2014,Illinois,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Illinois,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Illinois,Cities,Addison,0,0,1,0,37480
2014,Illinois,Cities,Arlington Heights,0,0,0,1,76200
2014,Illinois,Cities,Aurora,0,0,3,1,200419
2014,Illinois,Cities,Bartlett,1,0,0,0,41784
2014,Illinois,Cities,Batavia,1,0,0,0,26445
2014,Illinois,Cities,Beardstown,0,1,0,0,5919
2014,Illinois,Cities,Bloomington,0,1,1,1,79451
