state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum
,,Gainesville,0,0,0,0,"16,223",1
,,Galena Park,0,0,0,0,"11,290",1
,,Galveston,0,0,0,0,"49,170",1
,,Ganado,0,0,0,0,"2,028",1
,,Garden Ridge,0,0,0,0,"3,413",1
,,Gatesville,0,0,0,0,"16,224",1
,,Giddings,0,0,0,0,"4,970",1
,,Gilmer,0,0,0,0,"5,030",1
,,Glenn Heights,0,0,0,0,"11,683",1
,,Godley,0,0,0,0,"1,036",1
,,Gonzales,0,0,0,0,"7,381",1
,,Gorman,0,0,0,0,"1,102",1
,,Graham,0,0,0,0,"9,005",1
,,Granbury,0,0,0,0,"8,170",1
,,Grand Prairie,0,0,0,0,"181,782",1
,,Grand Saline,0,0,0,0,"3,195",1
,,Granger,0,0,0,0,"1,501",1
,,Granite Shoals,0,0,0,0,"5,027",1
,,Grapeland,0,0,0,0,"1,494",1
,,Grapevine,0,0,0,0,"48,095",1
,,Gregory,0,0,0,0,"1,934",1
,,Groesbeck,0,0,0,0,"4,431",1
,,Groves,0,0,0,0,"16,423",1
,,Gruver,0,0,0,0,"1,207",1
,,Gun Barrel City,0,0,0,0,"5,777",1
,,Hale Center,0,0,0,0,"2,301",1
,,Hallettsville,0,0,0,0,"2,610",1
,,Hallsville,0,0,0,0,"3,656",1
,,Hamlin,0,0,0,0,"2,148",1
,,Harker Heights,0,0,0,0,"27,542",1
,,Harlingen,0,0,0,0,"67,112",1
,,Haskell,0,0,0,0,"3,419",1
,,Hawk Cove,0,0,0,0,493,1
,,Hawkins,0,0,0,0,"1,303",1
,,Hawley,0,0,0,0,639,1
,,Hearne,0,0,0,0,"4,558",1
,,Hedwig Village,0,0,0,0,"2,652",1
,,Helotes,0,0,0,0,"7,636",1
,,Hemphill,0,0,0,0,"1,206",1
,,Hempstead,0,0,,0,"5,968",1
,,Hereford,0,0,0,0,"15,779",1
,,Hewitt,0,0,0,0,"13,973",1
,,Hidalgo,0,0,0,0,"11,706",1
,,Highland Village,0,0,0,0,"15,836",1
,,Hill Country Village,0,0,0,0,"1,024",1
,,Hillsboro,0,0,0,0,"8,653",1
,,Hitchcock,0,0,0,0,"7,174",1
,,Holliday,0,0,0,0,"1,743",1
,,Hollywood Park,0,0,0,0,"3,185",1
,,Hondo,0,0,0,0,"8,992",1
,,Hooks,0,0,0,0,"2,819",1
,,Horizon City,0,0,0,0,"17,418",1
