state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,,Pinellas,0,1,0,0,,0,,,,
,,Seminole,0,1,0,1,,0,,,,
,,St. Johns,0,0,1,1,,0,,,,
,,Volusia,1,1,0,0,,0,,,,
,Nonmetropolitan Counties,,,,,,,0,,,,
,,Putnam,0,0,0,1,,0,,,,
Georgia,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Columbus,2,,,,"196,178",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,Berry College,1,0,0,,"2,093",0,,,,
,,University of Georgia,0,1,3,,"34,816",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Cobb County Police Department,0,3,6,,,0,,,,
,,Henry County Police Department,5,0,0,,,0,,,,
Idaho,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Bellevue,1,0,0,0,"2,283",0,,,,
,,Boise,6,4,5,3,"211,569",0,,,,
,,Coeur d'Alene,1,4,0,0,"45,267",0,,,,
,,Garden City,0,1,0,0,"11,293",0,,,,
,,Grangeville,0,1,0,0,"3,198",0,,,,
,,Jerome,0,0,0,2,"11,115",0,,,,
,,Meridian,0,0,1,0,"77,270",0,,,,
,,Nampa,0,1,0,2,"83,316",0,,,,
,,Twin Falls,0,0,0,1,"44,866",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Kootenai,0,1,1,0,,0,,,,
