Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
,,El Paso,1,0,3,0,0,0,0,1,0,0,3,,,,
,,Gilpin,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Jefferson,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Larimer,0,1,3,1,3,0,0,0,3,4,1,,,,
,,Mesa,1,0,0,0,0,0,0,1,0,0,0,,,,
,,Teller,1,0,0,0,0,0,0,0,0,1,0,,,,
,Nonmetropolitan Counties,,1,1,2,1,0,0,0,,,,,,,,
,,La Plata,0,1,2,0,0,0,0,0,3,0,0,,,,
,,Montezuma,1,0,0,0,0,0,0,0,0,1,0,,,,
,,Summit,0,0,0,1,0,0,0,0,0,0,1,,,,
Connecticut,Total,,57,31,23,11,1,0,0,,,,,,,,
,Cities,,56,26,22,10,1,0,0,,,,,,,,
,,Bloomfield,3,0,3,1,0,0,0,1,1,4,1,"20,718",,,
,,Bridgeport,3,0,1,1,0,0,0,0,3,2,0,"147,822",,,
,,Bristol,1,1,1,0,0,0,0,2,0,1,0,"60,590",,,
,,Brookfield,0,1,0,0,0,0,0,0,1,0,0,"16,957",,,
,,Canton,0,1,0,0,0,0,0,0,0,1,0,"10,372",,,
,,Cheshire,1,0,0,0,0,0,0,0,1,0,0,"29,120",,,
,,Coventry,0,1,0,0,0,0,0,0,0,0,1,"12,403",,,
,,Danbury,1,0,1,0,0,0,0,1,1,0,0,"84,281",,,
,,Derby,0,1,0,0,0,0,0,0,0,0,1,"12,776",,,
,,East Hartford,1,0,0,0,0,0,0,0,1,0,0,"51,185",,,
,,Easton,0,1,0,0,0,0,0,0,0,0,1,"7,645",,,
,,Enfield,0,1,0,0,0,0,0,,,,1,"44,769",,,
,,Fairfield,0,0,1,0,0,0,0,1,0,0,0,"61,146",,,
,,Farmington,0,0,0,1,0,0,0,0,0,1,0,"25,678",,,
,,Glastonbury,1,0,0,0,0,0,0,0,0,0,1,"34,850",,,
,,Greenwich,0,0,1,0,0,0,0,1,0,0,0,"62,676",,,
,,Groton Town,1,1,1,0,0,0,0,1,1,0,1,"30,339",,,
,,Hamden,1,0,0,0,0,0,0,0,0,0,1,"61,599",,,
,,Manchester2,5,1,0,0,1,0,0,2,2,1,2,"58,204",,,
,,Meriden,1,0,0,0,0,0,0,0,0,1,0,"60,352",,,
,,Middlebury,1,0,0,0,0,0,0,0,0,0,1,"7,569",,,
,,Middletown,5,0,1,0,0,0,0,3,1,0,2,"47,256",,,
,,Milford,2,0,0,1,0,0,0,0,1,1,1,"53,222",,,
,,New Britain,0,0,1,0,0,0,0,0,0,0,1,"72,864",,,
,,New Haven,4,0,3,1,0,0,0,2,4,0,2,"130,882",,,
,,Newington,0,1,0,0,0,0,0,1,0,0,0,"30,803",,,
,,New Milford,0,2,0,0,0,0,0,0,2,0,0,"27,681",,,
,,Newtown,2,1,0,0,0,0,0,1,1,1,0,"28,243",,,
,,North Haven,0,1,0,0,0,0,0,0,0,1,0,"23,901",,,
