year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
, Nan, Nan,Marissa,0,0,1,0,1859,
, Nan, Nan,Monmouth,0,0,1,1,9548,
, Nan, Nan,Moweaqua,1,0,0,0,1764,
, Nan, Nan,Normal,1,0,1,1,55096,
, Nan, Nan,North Chicago,0,0,1,2,29898,
, Nan, Nan,North Riverside,0,1,0,0,6703,
, Nan, Nan,Oak Forest,0,1,0,0,28222,
, Nan, Nan,Orland Park,0,0,1,0,59161,
, Nan, Nan,Rantoul,0,1,0,0,13138,
, Nan, Nan,Rockford,1,0,1,0,148178,
, Nan, Nan,Rolling Meadows,1,0,0,0,24321,
, Nan, Nan,Round Lake Park,0,1,0,0,7350,
, Nan, Nan,Schaumburg,1,0,0,0,75050,
, Nan, Nan,Silvis,0,1,0,0,7529,
, Nan, Nan,Skokie,0,0,0,1,65184,
