Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Clermont,1,0,0,0,29523
, Nan, Nan,Coral Gables,0,1,1,0,48435
, Nan, Nan,Deland,0,1,0,0,27410
, Nan, Nan,Fort Lauderdale,0,0,1,0,170827
, Nan, Nan,Fort Myers,1,0,0,0,64379
, Nan, Nan,Gainesville,1,0,3,1,127036
, Nan, Nan,Green Cove Springs,1,0,0,0,7053
, Nan, Nan,Homestead,1,1,1,0,62785
, Nan, Nan,Jacksonville,2,1,0,1,840660
, Nan, Nan,Jupiter,0,3,0,0,56674
, Nan, Nan,Key West,2,1,1,0,25249
, Nan, Nan,Lake Clarke Shores,1,0,0,0,3462
, Nan, Nan,Lakeland,1,0,0,0,99934
, Nan, Nan,Largo,0,0,0,2,78783
, Nan, Nan,Leesburg,0,0,0,1,20668
, Nan, Nan,Melbourne,3,5,1,0,77133
, Nan, Nan,Miami Gardens,0,0,1,1,111177
, Nan, Nan,Miramar,2,1,0,0,125998
, Nan, Nan,New Smyrna Beach,0,0,0,1,22788
, Nan, Nan,North Port,1,0,2,1,58568
, Nan, Nan,Oakland Park,0,1,0,0,42701
, Nan, Nan,Ocoee,0,0,0,1,36816
, Nan, Nan,Orange Park,1,0,0,0,8592
, Nan, Nan,Orlando,1,2,0,0,246513
, Nan, Nan,Ormond Beach,1,0,0,0,38674
, Nan, Nan,Oviedo,1,0,0,0,33985
, Nan, Nan,Palm Bay,1,0,0,0,104635
, Nan, Nan,Pensacola,1,2,1,0,52909
, Nan, Nan,Pinellas Park,0,0,0,1,49821
, Nan, Nan,Pompano Beach,0,0,3,0,103003
, Nan, Nan,Port St. Lucie,1,0,0,1,168416
, Nan, Nan,Sanford,0,0,0,1,54662
, Nan, Nan,Stuart,1,1,0,0,15932
, Nan, Nan,Tallahassee,0,1,0,0,185461
, Nan, Nan,Temple Terrace,0,0,0,1,25659
, Nan, Nan,Village of Pinecrest,1,0,0,0,18912
, Nan, Nan,Wellington,0,0,0,1,57943
, Nan, Nan,Wilton Manors,0,1,1,0,12005
, Nan, Nan,Winter Garden,0,0,0,3,35768
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,New College of Florida,0,0,0,1,845
, Nan, Nan,University of Central Florida,0,1,0,0,58465
, Nan, Nan,University of Florida,0,0,3,1,49589
, Nan, Nan,"University of South Florida, Tampa",0,0,2,0,39596
, Nan, Nan,University of West Florida,0,2,1,0,11982
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Alachua,0,1,1,1,
, Nan, Nan,Baker,1,0,0,0,
, Nan, Nan,Brevard,0,0,1,0,
, Nan, Nan,Clay,1,0,0,1,
, Nan, Nan,Collier,0,0,2,0,
, Nan, Nan,Escambia,0,0,0,1,
, Nan, Nan,Flagler,0,1,0,0,
, Nan, Nan,Hillsborough,1,0,0,1,
, Nan, Nan,Lake,0,2,0,1,
, Nan, Nan,Marion,1,0,0,0,
, Nan, Nan,Okaloosa,0,0,1,0,
, Nan, Nan,Orange,0,3,5,8,
, Nan, Nan,Osceola,1,0,1,1,
, Nan, Nan,Palm Beach,0,0,0,1,
, Nan, Nan,Pasco,0,0,0,1,
, Nan, Nan,Pinellas,0,1,0,0,
, Nan, Nan,Seminole,0,1,0,1,
, Nan, Nan,St. Johns,0,0,1,1,
, Nan, Nan,Volusia,1,1,0,0,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Putnam,0,0,0,1,
,Georgia,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Columbus,2, Nan, Nan, Nan,196178
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Berry College,1,0,0, Nan,2093
